station_id,name,river,lat,lon,elev
250140020,Sieniawka,Nysa Łużycka (174),50.893611,14.835278,234.0
250140030,Bogatynia,Miedzianka (17416),50.899722,14.980556,290.0
250150030,Pobiedna,Łużyca (166324),50.951944,15.308611,409.0
250150050,Pilchowice,Bóbr (16),50.962778,15.640000,251.0
250150060,Rębiszów,Skitnica (166246),50.951667,15.448889,420.0
250150080,Stara Kamienica,Kamienica (1632),50.916944,15.574167,374.0
250150090,Świeradów-Zdrój,Kwisa (166),50.898333,15.358611,510.0
250150110,Kaczorów,Kaczawa (138),50.908889,15.935833,491.0
250150130,Ciechanowice,Bóbr (16),50.867222,15.977222,405.0
250150150,Szklarska Poręba,Kamieńczyk (1622),50.834444,15.529167,648.0
250150170,Jakuszyce,Kamienna (162),50.823056,15.441944,855.0
